Date,Year,Month,State,UnemploymentRate,LaborForce,Employment_LAUS
2015-06-01,2015,6,Mississippi,6.4,1260610.0,1180051.0
2015-06-01,2015,6,Missouri,5.2,3051939.0,2893337.0
2015-06-01,2015,6,Montana,4.2,520020.0,498041.0
2015-06-01,2015,6,Nebraska,3.0,1013724.0,983255.0
2015-06-01,2015,6,Nevada,6.9,1395265.0,1298919.0
2015-06-01,2015,6,New Hampshire,3.4,747698.0,721993.0
2015-06-01,2015,6,New Jersey,5.8,4597878.0,4329561.0
2015-06-01,2015,6,New Mexico,6.7,942102.0,878794.0
2015-06-01,2015,6,New York,5.3,9742165.0,9229744.0
2015-06-01,2015,6,North Carolina,5.8,4709361.0,4436722.0
2015-06-01,2015,6,North Dakota,2.8,412415.0,400880.0
2015-06-01,2015,6,Ohio,4.9,5724503.0,5443078.0
2015-06-01,2015,6,Oklahoma,4.4,1828173.0,1748366.0
2015-06-01,2015,6,Oregon,5.5,1972552.0,1863321.0
2015-06-01,2015,6,Pennsylvania,5.4,6473711.0,6121599.0
2015-06-01,2015,6,Rhode Island,6.0,565447.0,531319.0
2015-06-01,2015,6,South Carolina,6.0,2242091.0,2108504.0
2015-06-01,2015,6,South Dakota,3.1,449968.0,436105.0
2015-06-01,2015,6,Tennessee,5.6,3078968.0,2905909.0
2015-06-01,2015,6,Texas,4.4,13012436.0,12437703.0
2015-06-01,2015,6,Utah,3.5,1460409.0,1409012.0
2015-06-01,2015,6,Vermont,3.5,351857.0,339631.0
2015-06-01,2015,6,Virginia,4.4,4228911.0,4043889.0
2015-06-01,2015,6,Washington,5.4,3544400.0,3352409.0
2015-06-01,2015,6,West Virginia,6.7,793510.0,739950.0
2015-06-01,2015,6,Wisconsin,4.4,3090401.0,2954013.0
2015-06-01,2015,6,Wyoming,4.1,300779.0,288422.0
2015-07-01,2015,7,Alabama,6.1,2171593.0,2038753.0
2015-07-01,2015,7,Alaska,6.2,361138.0,338644.0
2015-07-01,2015,7,Arizona,6.1,3113926.0,2923947.0
